J.S. Bach,"Prelude and Fugue WTC 1: No. 5 in D Major, BWV 850",Baroque
J.S. Bach,"Prelude and Fugue WTC 1: No. 21 in B-flat Major, BWV 886",Baroque
Ludwig van Beethoven,Piano Trio Op. 1 No. 2 in G major I. Adagio – Allegro vivace,Classical
Ludwig van Beethoven,Piano Sonata Op. 2 No. 3 in C Major,Classical
Ludwig van Beethoven,Piano Sonata Op. 81a in E-Flat Major “Les Adieux”,Classical
Wolfgang Amadeus Mozart,Sonata K. 332 in F Major,Classical
Frederic Chopin,Etude Op. 10 No. 4 in C-Sharp Minor “Torrent”,Romantic
Frederic Chopin,Prelude Op. 28 No. 22 in G Minor,Romantic
Frederic Chopin,Nocturne Op. 32 No. 1 in B Major,Romantic
Frederic Chopin,Nocturne Op. 48 No. 1 in C Minor,Romantic
Fanny Hensel,Notturno H. 337 in G Minor,Romantic
Franz Liszt,Hungarian Rhapsody No. 2,Romantic
Franz Liszt,Transcendental Etude No. 3 “Paysage”,Romantic
Franz Liszt,Transcendental Etude No. 4 “Mazeppa”,Romantic
Franz Liszt,Transcendental Etude No. 10 “Appassionata”,Romantic
Felix Mendelssohn,Scherzo Op. 16 No. 2 in E Minor,Romantic
Felix Mendelssohn,"Piano Concerto No. 1 in G Minor, Op. 25 I. Molto allegro con fuoco",Romantic
Sergei Rachmaninoff,"Moments Musicaux, Op. 16 No. 4 in E Minor",Romantic
Sergei Rachmaninoff,"Piano Concerto No. 2, Op. 18 in C Minor I. Moderato",Romantic
Sergei Rachmaninoff,Prelude Op. 23 No. 5 in G Minor,Romantic
Sergei Rachmaninoff,Prelude Op. 32 No. 5 in G Major,Romantic
Sergei Rachmaninoff,Prelude Op. 32 No. 13 in D-Flat Major,Romantic
Sergei Rachmaninoff,Etude-Tableaux Op. 33 No. 4 in D Minor,Romantic
Sergei Rachmaninoff,Etude-Tableaux Op. 33 No. 6 in E-Flat Major,Romantic
Sergei Rachmaninoff,Etudes-Tableaux Op. 39 No. 4 in B Minor,Romantic
Christian Sinding,"Rustle of Spring, Op. 32 No. 3",Romantic
Samuel Barber,Ballade Op. 46,Contemporary
William Bolcom,The Serpant's Kiss,Contemporary
Claude Debussy,Images I - I. Reflets dans l'eau,Contemporary
Henri Dutilleux Piano Sonata,Op. 1 - III. Chorale et Variations,Contemporary
George Gershwin,I've Got Rhythm,Contemporary
Alberto Ginastera,"Piano Sonata No. 1, Op. 22",Contemporary
Olivier Messiaen,Vingt Regards sur l'Enfant-Jesus 17. Regard du silence,Contemporary
Robert Muczynski,"Desperate Measures, Op. 48",Contemporary
Sergei Prokofiev,"Piano Sonata No. 7, Op. 83 - III. Precipitato",Contemporary
John Philip Sousa-Vladimir Horowitz,The Stars and Stripes Forever,Contemporary
Toru Takemitsu,Rain Tree Sketch II,Contemporary
